id,timestamp,window_start,client_ip,server_ip,direction,protocol,service,src_port,dst_port,size,flags
118,1759201264.75358,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
119,1759201264.75358,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
120,1759201264.75358,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,79,
121,1759201264.75358,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
122,1759201264.75358,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
123,1759201264.77435,2025-09-30T03:01:00Z,189.203.85.115,192.168.0.4,IN,UDP,,23330,31689,590,
124,1759201264.77435,2025-09-30T03:01:00Z,189.203.85.115,192.168.0.4,OUT,UDP,,31689,23330,92,
125,1759201264.81772,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
126,1759201264.81772,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
127,1759201264.836,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,62,
128,1759201264.836,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
129,1759201264.836,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
130,1759201264.836,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
131,1759201264.836,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
132,1759201264.9355,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
133,1759201264.9355,2025-09-30T03:01:00Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
134,1759201264.96659,2025-09-30T03:01:00Z,192.168.0.3,192.168.0.4,OUT,TCP,,63736,8009,164,PA
135,1759201266.01939,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
136,1759201266.01998,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
137,1759201266.01998,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
138,1759201266.02876,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,62,
139,1759201266.03506,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,62,
140,1759201266.03506,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
141,1759201266.03607,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
142,1759201266.03674,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
143,1759201266.03674,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,79,
144,1759201266.03674,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
145,1759201266.03674,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
146,1759201266.03674,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
147,1759201266.03674,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
148,1759201266.03674,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
149,1759201266.03674,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
150,1759201266.03674,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
151,1759201266.03674,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
152,1759201266.03674,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
153,1759201266.03674,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
154,1759201266.03674,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
155,1759201266.03674,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
156,1759201266.03674,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
157,1759201266.03674,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
158,1759201266.03674,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
159,1759201266.03674,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
160,1759201266.03674,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
161,1759201266.03674,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
